id;name;code;detail;status
1;valentine;energetically hm catch;frankly silver youthful;WONT_IMPLEMENT
2;against vindicate week;allergist;pish;CLOSED
3;ack;drat;chow;IN_PROGRESS
4;lest;short-term disco chargrill;where descale dud;WONT_IMPLEMENT
5;provided atop yippee;magnificent meh stone;sizzling;CLOSED
6;welcome anxiously cockroach;harp;as mockingly instance;OPEN
7;lid;hastily tilt skim;bah;CLOSED
8;oof whopping;beneath infatuated;ew while;CLOSED
9;throng heartwood;policeman variant;opposite lest;REOPENED
10;localise tidy;under quickly border;creditor gadzooks reamer;VERIFIED
