id;status;meter_pics;publication_date
1;CANNOT_REPRODUCE;darling above;2024-01-07T08:46:45
2;CLOSED;chaplain besides against;2024-01-07T10:06:32
3;OPEN;dangle;2024-01-07T07:36:11
4;WAITING_FOR_RESPONSE;the up;2024-01-07T09:40:38
5;CANNOT_REPRODUCE;huzzah bah;2024-01-08T03:43:40
6;IN_PROGRESS;anti drink duh;2024-01-07T18:53:21
7;OPEN;rectangle duel;2024-01-07T09:11:06
8;WAITING_FOR_RESPONSE;ha;2024-01-07T16:18:49
9;SOLVED;victoriously psst notwithstanding;2024-01-07T23:36:01
10;VERIFIED;photocopy oof;2024-01-07T10:49:47
