id;remark;status;publication_date
1;alongside;OPEN;2024-01-07T15:25:28
2;throw swiftly;CLOSED;2024-01-07T19:12:04
3;reproachfully curvy gland;CLOSED;2024-01-08T02:59:04
4;zowie laryngitis;WONT_IMPLEMENT;2024-01-07T10:21:47
5;than woof;IN_PROGRESS;2024-01-07T05:49:27
6;phooey;WAITING_FOR_RESPONSE;2024-01-07T23:10:19
7;inexperienced phooey yippee;WONT_IMPLEMENT;2024-01-07T08:27:43
8;while sweeten accusation;WAITING_FOR_RESPONSE;2024-01-08T03:52:46
9;ornament boohoo wave;REOPENED;2024-01-07T17:16:05
10;next;WONT_IMPLEMENT;2024-01-07T16:31:34
