id;name;code;phone;address;status
1;even yet adsorb;advertise;851.471.1429;tart;SOLVED
2;spectacular boohoo under;ew gut;1-710-775-8987 x4616;download up;WONT_IMPLEMENT
3;bull;macrame;549.660.9118 x2562;different provided;REOPENED
4;gosh predetermine;foresee reduplicate molasses;412-892-3573;rake;REOPENED
5;brr ack;infantile whistle gateway;1-844-577-1088 x0667;furthermore;CLOSED
6;hence meh remove;before accoutre numeric;(424) 646-8186 x0834;instead;VERIFIED
7;beside;nectar repent ew;1-930-340-8223 x97743;bah trafficker anti;WONT_IMPLEMENT
8;amongst yahoo attractive;yahoo until;1-276-349-1738 x654;absent;REOPENED
9;till;hence;484.375.2698;carefree amidst;IN_PROGRESS
10;savage along radar;interestingly until;(483) 322-7412;offensively;WAITING_FOR_RESPONSE
